16088	273075
190	9606
12525	561444
10873	206672
1921	264202
5524	3619
17691	284812
2344	272944
6920	315456
6169	96584
7511	7238
16821	9601
12042	272563
19172	8022
15776	5539
19454	273123
18134	167539
17381	59919
17950	44689
17178	167539
743	110662
18331	74546
15580	316279
3409	1514140
7140	269084
6480	9606
18688	234826
4806	177416
3170	39947
9757	93062
16146	158879
1889	282459
4701	451516
13489	196620
3300	359787
5767	451516
15956	451516
1881	196620
4174	83331
10082	243277
11853	46245
245	7240
7795	340047
7391	7238
5395	290397
19101	882
13187	883
5926	482235
1755	257363
1867	7217
19040	7260
13003	257311
19940	7726
9658	9606
6058	273036
1888	93062
1301	196620
10941	3702
7551	3702
7109	35806
19557	9601
1372	186497
6946	315456
10582	416276
5647	257363
17315	203124
2275	266834
8239	402880
2798	351160
13327	420247
7016	187420
3940	273063
10981	344696
4472	36943
16034	36977
8125	267111
11358	304879
1289	304880
854	765340
14367	761655
10192	253133
9951	253132
4564	1037657
15348	270861
3522	344696
13637	6982
16662	348767
1006	406578
17837	348758
4783	521516
17709	36961
2488	435591
2287	410358
11173	384616
7603	243230
15122	221109
11423	40480
314	242619
13456	456442
13330	323259
250	178306
5310	439386
1999	273036
6827	93062
18863	7220
11343	7245
4095	167546
14520	315456
2667	229032
14107	50514
15965	50514
2452	3888
16488	505682
2808	273119
18979	272557
12887	517418
4613	882
2366	347255
3427	515635
6516	340102
1520	273063
1229	340177
13015	331678
2203	267748
6041	340177
934	243161
3433	83558
6623	189518
15625	491916
9891	269484
2037	273057
4542	565575
18735	243164
10419	368407
15978	447217
17121	205920
7915	222891
11625	410359
16350	570417
956	290315
12002	319225
4996	177439
18005	374931
2180	243276
19662	212042
3294	290434
18347	224326
19969	243273
7115	47834
11534	563178
5547	198804
13234	391774
16151	351605
13832	293613
10138	203907
107	291272
3655	314723
3436	372461
15979	243164
12458	255470
16170	207559
8922	882
14016	883
16766	269484
13416	484022
5750	224324
18683	397948
12246	410359
6881	234267
1742	439386
13303	319795
17539	381764
4505	419665
17535	416591
16674	340102
8746	484019
9455	445985
7721	412419
17717	224324
1836	224324
15185	203907
19507	347257
13356	295358
3241	262719
1010	272635
19927	262723
9587	425104
18721	290315
2006	517418
1508	194439
16226	74546
12253	59920
7104	110662
19371	585
7809	123214
9310	392021
3601	243231
14582	380749
15484	264732
700	403833
1239	391896
17841	336407
11955	257363
2546	5671
17269	3702
6174	325240
6909	339860
4329	392500
1348	360105
2679	93059
16444	110662
7102	62928
4688	85643
265	204669
1788	5757
17293	8469
8420	340177
14387	441952
6361	393011
12800	418136
12644	498761
18939	708616
6457	243274
6503	205920
4516	419665
9485	167539
11184	74547
4735	146891
560	84588
19081	273119
13772	523850
12143	243232
2525	402880
9458	426368
383	267377
879	190650
